2015-07-29 17:32:41 : Time=248626 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:42 : Time=249632 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:43 : Time=250638 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:44 : Time=251664 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:45 : Time=252674 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:46 : Time=253691 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:47 : Time=254678 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:48 : Time=255739 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:49 : Time=256686 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:50 : Time=257765 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:51 : Time=258739 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:52 : Time=259780 X=-16720.27734375 Y=10336.265625
2015-07-29 17:32:53 : Time=260766 X=-16720.27734375 Y=10336.265625
2015-07-29 17:32:54 : Time=261795 X=-16874.609375 Y=10302.2294921875
2015-07-29 17:32:55 : Time=262822 X=-16874.609375 Y=10302.2294921875
2015-07-29 17:32:56 : Time=263823 X=-17043.21484375 Y=10364.814453125
2015-07-29 17:32:57 : Time=264838 X=-17146.416015625 Y=10376.072265625
2015-07-29 17:32:58 : Time=265840 X=-17146.416015625 Y=10376.072265625
2015-07-29 17:32:59 : Time=266843 X=-17146.416015625 Y=10376.072265625
2015-07-29 17:33:00 : Time=267858 X=-17146.416015625 Y=10376.072265625
2015-07-29 17:33:01 : Time=268859 X=-17146.416015625 Y=10376.072265625
2015-07-29 17:33:02 : Time=269881 X=-17146.416015625 Y=10376.072265625
2015-07-29 17:33:03 : Time=270890 X=-17146.416015625 Y=10376.072265625
2015-07-29 17:33:04 : Time=271904 X=-18152.76953125 Y=9942.2939453125
2015-07-29 17:33:05 : Time=272933 X=-18152.76953125 Y=9942.2939453125
2015-07-29 17:33:06 : Time=273930 X=-18152.76953125 Y=9942.2939453125
2015-07-29 17:33:07 : Time=274943 X=-18152.76953125 Y=9942.2939453125
2015-07-29 17:33:09 : Time=275954 X=-18152.76953125 Y=9942.2939453125
2015-07-29 17:33:10 : Time=276965 X=-17914.650390625 Y=10098.5478515625
2015-07-29 17:33:11 : Time=277976 X=-17914.650390625 Y=10098.5478515625
2015-07-29 17:33:12 : Time=278974 X=-17809.08203125 Y=10185.0576171875
2015-07-29 17:33:13 : Time=279989 X=-17780.724609375 Y=10219.697265625
2015-07-29 17:33:14 : Time=281004 X=-17462.15625 Y=10413.5654296875
2015-07-29 17:33:15 : Time=282023 X=-17329.00390625 Y=10386.6591796875
2015-07-29 17:33:16 : Time=283038 X=-17019.146484375 Y=10324.3359375
2015-07-29 17:33:17 : Time=284039 X=-17019.146484375 Y=10324.3359375
2015-07-29 17:33:18 : Time=285061 X=-17125.169921875 Y=10383.083984375
2015-07-29 17:33:19 : Time=286062 X=-16937.4140625 Y=10389.42578125
2015-07-29 17:33:20 : Time=287072 X=-16647.7734375 Y=10144.501953125
2015-07-29 17:33:21 : Time=288076 X=-16679.3203125 Y=10137.76171875
2015-07-29 17:33:22 : Time=289093 X=-16963.32421875 Y=10263.5205078125
2015-07-29 17:33:23 : Time=290108 X=-16997 Y=10283
2015-07-29 17:33:24 : Time=291122 X=-16750.37109375 Y=10166.8623046875
2015-07-29 17:33:25 : Time=292111 X=-16442.55078125 Y=10115.1953125
2015-07-29 17:33:26 : Time=293152 X=-16209.599609375 Y=10041.2890625
2015-07-29 17:33:27 : Time=294153 X=-16139.716796875 Y=10036.0712890625
2015-07-29 17:33:28 : Time=295172 X=-14974.8486328125 Y=9788.234375
2015-07-29 17:33:29 : Time=296187 X=-14677.8310546875 Y=9663.57421875
2015-07-29 17:33:30 : Time=297190 X=-14364.2177734375 Y=9697.3525390625
